zip,latitude,longitude,bbox
90503,33.840768,-118.353644,"-118.37837,33.822603,-118.328518,33.858336"
90504,33.866814,-118.331172,"-118.355898,33.847274,-118.309123,33.887061"
90505,33.808881,-118.34798,"-118.375171,33.780445,-118.325299,33.82929"
90506,33.884889,-118.330371,"-118.334906,33.881368,-118.326488,33.88743"
90601,34.008303,-118.031369,"-118.067311,33.975168,-117.997852,34.050149"
90602,33.971958,-118.022177,"-118.053007,33.953338,-117.98782,33.989295"
90603,33.94539,-117.99249,"-118.025372,33.928166,-117.96529,33.965982"
90604,33.930148,-118.01227,"-118.041665,33.916999,-117.976495,33.948669"
90605,33.949747,-118.023391,"-118.055206,33.916882,-117.976574,33.975116"
90606,33.977664,-118.065759,"-118.089113,33.958773,-118.041524,34.0068"
90638,33.902419,-118.00921,"-118.037955,33.873322,-117.976495,33.928268"
90640,34.015054,-118.110755,"-118.14416,33.97299,-118.072859,34.044853"
90650,33.906807,-118.082616,"-118.111611,33.880314,-118.042207,33.933481"
90660,33.988809,-118.090621,"-118.121307,33.950362,-118.05458,34.021917"
90670,33.933012,-118.06265,"-118.098478,33.882629,-118.028888,33.970255"
90701,33.867601,-118.080612,"-118.091038,33.853411,-118.068915,33.880383"
90703,33.867889,-118.068723,"-118.108564,33.845875,-118.028581,33.887996"
90704,33.391486,-118.448455,"-118.668203,33.248083,-118.241051,33.532321"
90706,33.888032,-118.127077,"-118.151311,33.865574,-118.10691,33.910453"
90710,33.798153,-118.29904,"-118.309941,33.779053,-118.281925,33.817038"
90712,33.84894,-118.146747,"-118.167704,33.820047,-118.125047,33.869035"
90713,33.84799,-118.112601,"-118.127234,33.831712,-118.093305,33.869076"
90715,33.840291,-118.078884,"-118.098939,33.83126,-118.058918,33.849641"
90716,33.830402,-118.073026,"-118.082792,33.822169,-118.061691,33.83873"
90717,33.79381,-118.31717,"-118.32868,33.774979,-118.307394,33.809045"
90723,33.897407,-118.164805,"-118.188167,33.879807,-118.142574,33.918165"
90731,33.729874,-118.277482,"-118.328345,33.696923,-118.231803,33.78208"
90732,33.742082,-118.312069,"-118.335337,33.709506,-118.293812,33.78208"
90744,33.778649,-118.261678,"-118.29749,33.749144,-118.220749,33.804774"
90745,33.821257,-118.264409,"-118.288882,33.797817,-118.228943,33.856946"
90746,33.858865,-118.255231,"-118.276505,33.83538,-118.233933,33.886188"
90747,33.8629,-118.251318,"-118.252352,33.862488,-118.250167,33.863356"
90755,33.802888,-118.167695,"-118.184663,33.789836,-118.149426,33.818916"
90802,33.749717,-118.207642,"-118.248966,33.710666,-118.165806,33.78174"
90803,33.755294,-118.130745,"-118.169788,33.728228,-118.09197,33.775322"
90804,33.781855,-118.148594,"-118.167649,33.774278,-118.121256,33.791982"
90805,33.864912,-118.180535,"-118.208874,33.838665,-118.146509,33.885459"
90806,33.804498,-118.187585,"-118.206031,33.789843,-118.139219,33.831879"
90807,33.827963,-118.174647,"-118.204908,33.810365,-118.139162,33.851424"
90808,33.824079,-118.112387,"-118.15411,33.809915,-118.063162,33.847078"
90810,33.818911,-118.221089,"-118.242556,33.789847,-118.204172,33.846653"
90813,33.782362,-118.196913,"-118.240636,33.768007,-118.166547,33.790368"
90814,33.771615,-118.143631,"-118.167664,33.76686,-118.116901,33.775353"
90815,33.79584,-118.116253,"-118.15457,33.774114,-118.075939,33.812673"
90822,33.778436,-118.118648,"-118.122351,33.775316,-118.115036,33.781421"
90831,33.768334,-118.201636,"-118.204159,33.767223,-118.198749,33.769518"
91001,34.195455,-118.13797,"-118.17172,34.174225,-118.094997,34.219931"
91006,34.136014,-118.02677,"-118.067958,34.087265,-117.99219,34.179453"
91007,34.128645,-118.048151,"-118.069388,34.101442,-118.030768,34.149055"
91008,34.153428,-117.968103,"-117.985867,34.143618,-117.951279,34.165159"
91010,34.14071,-117.956709,"-117.999542,34.113762,-117.924661,34.16531"
91011,34.221656,-118.205142,"-118.238903,34.17661,-118.167419,34.267297"
91016,34.152236,-118.000667,"-118.021906,34.102902,-117.975378,34.179722"
91020,34.211344,-118.230655,"-118.239987,34.203435,-118.220264,34.220261"
91024,34.16872,-118.050339,"-118.068205,34.156821,-118.029473,34.179405"
91030,34.110242,-118.157299,"-118.177996,34.098561,-118.134694,34.125662"
91040,34.261777,-118.337134,"-118.375225,34.23886,-118.29697,34.286083"
91042,34.316513,-118.249241,"-118.322382,34.232527,-118.178914,34.387872"
91046,34.211452,-118.241036,"-118.24242,34.210339,-118.239978,34.212512"
91101,34.146665,-118.139459,"-118.150528,34.135795,-118.130804,34.157859"
91103,34.168999,-118.165978,"-118.19097,34.14576,-118.145419,34.202991"
91104,34.167792,-118.123446,"-118.146251,34.157105,-118.098314,34.181565"
91105,34.138235,-118.166765,"-118.186097,34.122663,-118.145914,34.159293"
91106,34.138591,-118.128251,"-118.147337,34.11818,-118.112398,34.157827"
91107,34.158301,-118.087154,"-118.113219,34.12684,-118.065616,34.193413"
91108,34.12233,-118.113413,"-118.142213,34.104976,-118.087946,34.13736"
91201,34.170287,-118.289112,"-118.30807,34.153165,-118.275401,34.190456"
91202,34.167867,-118.268435,"-118.282817,34.154721,-118.253716,34.183905"
91203,34.152924,-118.26412,"-118.276332,34.146259,-118.254927,34.159114"
91204,34.136194,-118.260935,"-118.272095,34.118761,-118.251133,34.148064"
91205,34.136681,-118.243337,"-118.254946,34.124013,-118.227751,34.147631"
91206,34.160681,-118.213439,"-118.255149,34.145881,-118.181583,34.188303"
91207,34.183628,-118.258653,"-118.288282,34.157601,-118.229026,34.217792"
91208,34.192493,-118.236517,"-118.275413,34.160628,-118.207784,34.22061"
91210,34.144557,-118.256507,"-118.257896,34.142561,-118.255039,34.146867"
91214,34.23672,-118.249272,"-118.291225,34.20801,-118.22161,34.267232"
91301,34.122736,-118.757249,"-118.832982,34.067386,-118.697214,34.168619"
91302,34.124262,-118.670105,"-118.718219,34.072687,-118.601323,34.17675"
91303,34.19792,-118.601527,"-118.614688,34.186451,-118.583885,34.208309"
91304,34.224617,-118.632453,"-118.672975,34.204221,-118.579781,34.257453"
91306,34.209268,-118.575393,"-118.589063,34.185695,-118.562228,34.231844"
91307,34.2016,-118.662185,"-118.715388,34.183756,-118.614091,34.224156"
91311,34.28937,-118.60744,"-118.670593,34.222126,-118.540821,34.360692"
91316,34.160411,-118.516679,"-118.537387,34.127995,-118.494987,34.186613"
91321,34.369091,-118.486005,"-118.569579,34.327967,-118.397893,34.410185"
91324,34.238992,-118.549616,"-118.571048,34.219108,-118.529879,34.264519"
